type	latitude	longitude	altitude (m)	name	desc
T	52.389035461	4.540815782	5.0	Zandvoort Outer	
T	52.389619190	4.541204803	5.4		
T	52.390320229	4.541678581	5.1		
T	52.390892885	4.542063301	6.0		
T	52.391387188	4.542395631	5.7		
T	52.391668150	4.542586805	6.7		
T	52.391692843	4.542607437	6.9		
T	52.391724725	4.542641057	7.1		
T	52.391763162	4.542693673	7.3		
T	52.391807083	4.542776810	7.5		
T	52.391835427	4.542845633	7.6		
T	52.391855970	4.542911375	7.6		
T	52.391874842	4.542990732	7.5		
T	52.391887963	4.543080793	7.4		
T	52.391892697	4.543158022	7.4		
T	52.391892971	4.543221755	7.4		
T	52.391888663	4.543296756	7.4		
T	52.391879994	4.543369720	7.4		
T	52.391868549	4.543429564	7.5		
T	52.391853529	4.543488580	7.6		
T	52.391834565	4.543551345	7.6		
T	52.391810226	4.543610348	7.5		
T	52.391779033	4.543671286	7.6		
T	52.391758457	4.543706605	7.6		
T	52.391731852	4.543743722	7.5		
T	52.391709005	4.543771505	7.5		
T	52.391678054	4.543803988	7.5		
T	52.391624065	4.543845831	7.5		
T	52.391577980	4.543869526	7.5		
T	52.391533283	4.543883854	7.5		
T	52.391488522	4.543890733	7.4		
T	52.391437848	4.543889885	7.2		
T	52.391394755	4.543881705	7.0		
T	52.391355559	4.543867875	6.8		
T	52.391317583	4.543849344	6.7		
T	52.391275106	4.543822568	6.5		
T	52.391169392	4.543749430	6.0		
T	52.391012716	4.543632340	5.5		
T	52.390901031	4.543549059	5.5		
T	52.390829616	4.543499816	5.6		
T	52.390734150	4.543436004	5.2		
T	52.390671498	4.543392472	5.1		
T	52.390489853	4.543277974	4.7		
T	52.390287976	4.543157254	4.6		
T	52.390223808	4.543124926	4.6		
T	52.390149013	4.543088070	4.4		
T	52.390078118	4.543058237	4.3		
T	52.390024412	4.543042993	4.2		
T	52.389907836	4.543012414	4.3		
T	52.389834223	4.543001602	4.3		
T	52.389689861	4.542989340	4.2		
T	52.389526924	4.542987019	4.1		
T	52.389476453	4.542980078	4.0		
T	52.389305920	4.542984721	4.9		
T	52.389280147	4.542984189	5.0		
T	52.389251633	4.542980987	5.2		
T	52.389230091	4.542976525	5.3		
T	52.389205181	4.542967223	5.4		
T	52.389170744	4.542945535	5.6		
T	52.389130553	4.542913250	5.4		
T	52.389090850	4.542875763	5.3		
T	52.389049061	4.542825066	5.6		
T	52.389010234	4.542771012	6.1		
T	52.388976055	4.542713500	6.3		
T	52.388944311	4.542646873	6.5		
T	52.388920358	4.542587038	6.7		
T	52.388897298	4.542532510	6.9		
T	52.388854180	4.542377964	6.5		
T	52.388810193	4.542194402	6.0		
T	52.388707868	4.541801754	5.5		
T	52.388651593	4.541584493	5.0		
T	52.388635173	4.541521822	5.0		
T	52.388623604	4.541486044	5.0		
T	52.388607865	4.541453190	5.0		
T	52.388593273	4.541428640	4.8		
T	52.388558206	4.541388171	4.4		
T	52.388525559	4.541359754	4.1		
T	52.388483054	4.541337608	3.7		
T	52.388449577	4.541330376	3.4		
T	52.388404348	4.541331254	2.9		
T	52.388365019	4.541344056	2.5		
T	52.388325392	4.541366502	2.2		
T	52.388286281	4.541403316	2.6		
T	52.388250145	4.541456275	3.1		
T	52.388223075	4.541510522	3.6		
T	52.388203417	4.541568894	4.1		
T	52.388188421	4.541631657	4.4		
T	52.388180265	4.541700348	4.8		
T	52.388177864	4.541793402	5.3		
T	52.388181899	4.541883271	5.8		
T	52.388189932	4.541957447	6.1		
T	52.388202275	4.542042926	6.5		
T	52.388228697	4.542186303	7.4		
T	52.388287506	4.542468661	8.6		
T	52.388352264	4.542790292	9.7		
T	52.388408020	4.543083186	9.0		
T	52.388455868	4.543367196	8.8		
T	52.388492843	4.543615290	9.4		
T	52.388511787	4.543801368	10.0		
T	52.388529194	4.544097397	10.4		
T	52.388534318	4.544295914	10.3		
T	52.388532542	4.544478235	10.1		
T	52.388523050	4.544704964	9.4		
T	52.388496588	4.545025906	8.5		
T	52.388467141	4.545280234	7.5		
T	52.388439732	4.545501365	6.3		
T	52.388409597	4.545716311	5.4		
T	52.388378187	4.545931625	4.6		
T	52.388353847	4.546105625	4.0		
T	52.388335775	4.546266151	4.0		
T	52.388323593	4.546431472	4.1		
T	52.388314756	4.546614000	4.1		
T	52.388314521	4.546768247	4.1		
T	52.388320158	4.546895513	4.1		
T	52.388325886	4.546986133	4.0		
T	52.388342533	4.547127272	4.0		
T	52.388361214	4.547250645	4.0		
T	52.388385838	4.547375866	3.9		
T	52.388424491	4.547549825	3.8		
T	52.388462159	4.547683199	3.9		
T	52.388500673	4.547803062	3.9		
T	52.388570853	4.548001521	4.0		
T	52.388694893	4.548325918	5.6		
T	52.388773759	4.548529849	6.2		
T	52.388840754	4.548724664	7.0		
T	52.388888090	4.548884649	8.0		
T	52.388929790	4.549049901	7.4		
T	52.388965102	4.549228363	7.3		
T	52.388990601	4.549412831	7.5		
T	52.389008030	4.549618014	8.2		
T	52.389012377	4.549751278	8.6		
T	52.389015459	4.549897157	8.9		
T	52.389013709	4.550050337	9.4		
T	52.389009014	4.550257134	10.5		
T	52.389004011	4.550410728	10.8		
T	52.388997003	4.550611327	11.1		
T	52.388991833	4.550707910	11.2		
T	52.388983307	4.550911719	11.3		
T	52.388978804	4.551053761	11.3		
T	52.388973459	4.551228663	11.2		
T	52.388965638	4.551445440	10.9		
T	52.388959013	4.551610718	10.6		
T	52.388948758	4.551767590	10.3		
T	52.388937137	4.551875485	10.1		
T	52.388921482	4.551987521	10.0		
T	52.388898805	4.552100355	10.0		
T	52.388869281	4.552222731	10.0		
T	52.388835258	4.552335406	9.8		
T	52.388793073	4.552449839	9.2		
T	52.388747309	4.552553063	8.6		
