type	latitude	longitude	altitude (m)	name	desc
T	43.997565559	11.371560106	257.0	Mugello Inner	
T	43.998288656	11.372008311	254.9		
T	43.998416146	11.372093084	255.9		
T	43.998770577	11.372338061	258.7		
T	43.999098100	11.372579855	259.8		
T	43.999363831	11.372784207	260.1		
T	43.999652919	11.373025517	262.4		
T	43.999920348	11.373249005	264.7		
T	44.000457311	11.373682160	266.0		
T	44.001038982	11.374071229	262.4		
T	44.001296977	11.374229081	263.9		
T	44.001629346	11.374423021	266.0		
T	44.002309153	11.374785802	267.9		
T	44.002714284	11.374999444	266.2		
T	44.002853804	11.375074437	265.9		
T	44.002938274	11.375127958	265.6		
T	44.003046394	11.375226643	264.6		
T	44.003120659	11.375327161	265.0		
T	44.003171814	11.375439830	266.2		
T	44.003196782	11.375529132	266.9		
T	44.003209526	11.375614350	267.5		
T	44.003208908	11.375700275	268.1		
T	44.003198717	11.375809603	268.9		
T	44.003167282	11.375920720	269.9		
T	44.003134124	11.375997607	270.8		
T	44.003094730	11.376058331	271.4		
T	44.003047617	11.376110953	272.0		
T	44.002951904	11.376191835	272.8		
T	44.002814699	11.376252207	274.0		
T	44.002721208	11.376267452	275.0		
T	44.002579694	11.376261800	276.4		
T	44.002458551	11.376241833	277.4		
T	44.002163252	11.376160242	279.7		
T	44.001687516	11.376031383	280.5		
T	44.001569925	11.376003575	280.5		
T	44.001521493	11.375998270	280.6		
T	44.001462906	11.376002721	280.9		
T	44.001392074	11.376023393	281.4		
T	44.001328410	11.376060992	281.7		
T	44.001278436	11.376096975	281.9		
T	44.001231524	11.376147742	282.3		
T	44.001189926	11.376204085	282.8		
T	44.001128948	11.376327137	283.6		
T	44.001032725	11.376547712	283.9		
T	44.000944092	11.376753229	283.9		
T	44.000885711	11.376882340	283.5		
T	44.000842881	11.376965910	283.2		
T	44.000798889	11.377029918	283.3		
T	44.000751048	11.377086958	283.5		
T	44.000695100	11.377136704	283.7		
T	44.000641151	11.377171397	283.8		
T	44.000561523	11.377208741	284.0		
T	44.000490953	11.377229415	284.5		
T	44.000427539	11.377234859	285.0		
T	44.000357374	11.377227351	285.5		
T	44.000299378	11.377210283	285.8		
T	44.000246340	11.377189924	286.2		
T	44.000176058	11.377145322	286.6		
T	44.000052729	11.377043211	286.7		
T	43.999148643	11.376206461	284.4		
T	43.998695732	11.375784943	283.6		
T	43.997827415	11.374981312	281.3		
T	43.997691609	11.374858031	280.9		
T	43.997624625	11.374803927	280.8		
T	43.997568140	11.374771783	280.9		
T	43.997501901	11.374748016	281.2		
T	43.997430037	11.374740788	281.1		
T	43.997369540	11.374743123	281.1		
T	43.997320297	11.374750636	281.2		
T	43.997239114	11.374785790	281.5		
T	43.997068086	11.374899650	281.6		
T	43.996923529	11.374999718	281.1		
T	43.996816917	11.375067935	281.9		
T	43.996744722	11.375105423	282.5		
T	43.996685255	11.375127207	282.8		
T	43.996629904	11.375135635	283.0		
T	43.996582442	11.375137546	283.1		
T	43.996545049	11.375132799	283.2		
T	43.996496977	11.375122228	283.1		
T	43.996460905	11.375110742	283.1		
T	43.996414512	11.375090002	282.9		
T	43.996365893	11.375058625	282.9		
T	43.996313549	11.375015230	282.8		
T	43.996179251	11.374875652	282.0		
T	43.995368115	11.373946299	273.3		
T	43.994419962	11.372863340	266.0		
T	43.994302242	11.372724551	264.7		
T	43.994249973	11.372651148	264.2		
T	43.994208573	11.372572281	263.6		
T	43.994179033	11.372500214	263.0		
T	43.994158155	11.372430329	262.6		
T	43.994138656	11.372335809	262.0		
T	43.994129068	11.372242062	261.3		
T	43.994129397	11.372165199	260.4		
T	43.994126949	11.372013112	258.3		
T	43.994134420	11.371466120	254.7		
T	43.994138755	11.371265957	254.3		
T	43.994132869	11.371091569	254.1		
T	43.994122631	11.370982630	254.2		
T	43.994099170	11.370847275	254.2		
T	43.994066180	11.370715940	254.1		
T	43.994019170	11.370591810	253.6		
T	43.993971136	11.370489685	252.8		
T	43.993920116	11.370401862	252.0		
T	43.993853291	11.370308087	251.0		
T	43.993782833	11.370228420	249.9		
T	43.993693113	11.370147728	249.0		
T	43.993575668	11.370057671	248.0		
T	43.993489208	11.369995623	247.1		
T	43.993401719	11.369947684	246.7		
T	43.993152343	11.369830840	246.2		
T	43.992850738	11.369698356	245.3		
T	43.992662664	11.369610712	245.4		
T	43.992479163	11.369526014	245.8		
T	43.992354858	11.369464361	246.0		
T	43.992227866	11.369397121	245.8		
T	43.992139157	11.369341364	245.2		
T	43.992043300	11.369267753	244.3		
T	43.991993102	11.369219716	243.7		
T	43.991927392	11.369152906	243.1		
T	43.991876100	11.369091723	243.3		
T	43.991824906	11.369019698	243.5		
T	43.991752174	11.368900486	244.0		
T	43.991700500	11.368784989	244.0		
T	43.991648461	11.368637500	244.0		
T	43.991615642	11.368491388	244.4		
T	43.991597371	11.368352916	244.9		
T	43.991589114	11.368213437	245.3		
T	43.991593026	11.368057195	245.7		
T	43.991609278	11.367896017	246.4		
T	43.991655142	11.367643086	247.4		
T	43.991718027	11.367411119	249.0		
T	43.991781620	11.367213778	250.9		
T	43.991965383	11.366725602	253.2		
T	43.992052856	11.366499153	255.1		
T	43.992114719	11.366360952	256.4		
T	43.992167222	11.366258921	257.5		
T	43.992204644	11.366199057	258.2		
T	43.992241723	11.366144658	258.8		
T	43.992281571	11.366095628	259.3		
T	43.992321405	11.366053298	259.5		
T	43.992362844	11.366013482	259.7		
T	43.992409218	11.365976151	259.8		
T	43.992460019	11.365942605	259.9		
T	43.992524994	11.365910698	260.2		
T	43.992590327	11.365884075	260.9		
T	43.992643378	11.365867591	261.5		
T	43.992748286	11.365846222	262.6		
T	43.992884919	11.365843983	264.5		
T	43.992965398	11.365850963	265.6		
T	43.993354189	11.365941017	267.8		
T	43.993697606	11.366034135	269.9		
T	43.994544047	11.366259500	272.2		
T	43.995192190	11.366431369	271.1		
T	43.995320873	11.366471753	271.3		
T	43.995388382	11.366499138	271.0		
T	43.995440645	11.366528709	270.7		
T	43.995493576	11.366566307	270.4		
T	43.995527355	11.366602363	270.3		
T	43.995558816	11.366641777	270.1		
T	43.995597451	11.366706223	270.1		
T	43.995627021	11.366765855	270.1		
T	43.995655573	11.366858973	270.2		
T	43.995673297	11.366963336	270.3		
T	43.995679850	11.367142112	270.3		
T	43.995680006	11.367453161	269.5		
T	43.995683587	11.367690116	268.0		
T	43.995691925	11.367838864	267.1		
T	43.995713216	11.367949463	266.7		
T	43.995740454	11.368047491	266.4		
T	43.995784790	11.368146540	266.3		
T	43.995829749	11.368226826	266.4		
T	43.995880840	11.368297198	266.3		
T	43.995943796	11.368365369	266.1		
T	43.996011081	11.368418353	265.9		
T	43.996127913	11.368483201	266.0		
T	43.996232508	11.368528596	266.0		
T	43.996542876	11.368651625	266.5		
T	43.996940219	11.368800212	269.0		
T	43.998243530	11.369317883	272.4		
T	43.998731350	11.369516869	270.6		
T	43.998817437	11.369557647	271.1		
T	43.998907254	11.369610384	271.5		
T	43.998987194	11.369673373	271.9		
T	43.999034441	11.369710387	272.1		
T	43.999090778	11.369775784	272.5		
T	43.999133373	11.369834376	272.8		
T	43.999181391	11.369922740	273.1		
T	43.999212603	11.370008293	273.3		
T	43.999238467	11.370115735	273.1		
T	43.999253383	11.370237574	272.8		
T	43.999252481	11.370345527	272.3		
T	43.999239973	11.370436503	271.8		
T	43.999219504	11.370530469	271.3		
T	43.999184593	11.370622341	270.6		
T	43.999150353	11.370693375	269.9		
T	43.999106995	11.370766936	269.0		
T	43.999054054	11.370822684	268.2		
T	43.999003860	11.370867865	267.7		
T	43.998950239	11.370908256	267.1		
T	43.998888668	11.370934260	266.6		
T	43.998816887	11.370952923	265.9		
T	43.998757166	11.370962529	265.3		
T	43.998685842	11.370956057	264.7		
T	43.998614635	11.370941344	264.0		
T	43.998552746	11.370920392	263.7		
T	43.998477208	11.370884143	263.4		
T	43.998396195	11.370829900	263.2		
T	43.998308823	11.370763790	263.3		
T	43.998175965	11.370641016	264.1		
T	43.997820740	11.370253079	261.6		
T	43.997661323	11.370075741	260.9		
